Participant,Format,FixationIndex,FixationDuration,treebg,treetotal,treerainy,treesunny,treerl,treerh,treesl,treesh,treequestion,vennbg,vennrh,vennrl,vennsl,venntotal,vennquestion
2,tree,34,267,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,35,150,1,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,36,133,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
2,tree,37,133,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,38,133,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,39,83,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,40,83,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,41,133,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,42,100,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,43,117,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,44,83,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,45,117,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,46,167,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,47,117,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,48,167,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
2,tree,49,183,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,50,150,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,51,133,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,52,333,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,53,183,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
2,tree,54,83,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
2,tree,55,133,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,56,150,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
2,tree,57,117,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
2,tree,58,167,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
2,tree,59,150,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
2,tree,60,183,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,61,100,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,62,117,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
2,tree,63,100,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,64,150,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,65,266,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
2,tree,66,350,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,67,383,1,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA
2,tree,68,100,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
3,tree,1,100,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
3,tree,2,100,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
